Question,Grade,Grader,Answer_Type,Course,Discipline,Knowledge Dimension,Cognitive Process Dimension,Math,Code,Author_Book,Trick
1,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader1,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader2,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader3,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader1,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader2,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader3,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader1,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader2,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
1,0,Grader3,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,Y,N
2,10,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,10,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
2,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,10,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,10,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
3,10,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,10,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
